Wall time,Step,Value
1685317036.8413534,24549,12.0
1685317038.5584805,24599,12.0
1685317128.7830126,25699,13.0
1685317137.3392127,25949,13.0
1685317139.0574079,25999,13.0
1685317142.6410704,26099,13.0
1685317153.2142298,26399,13.0
1685317199.7617936,27749,13.0
1685317252.5900936,27849,14.0
1685317280.4428937,28649,14.0
1685317285.6657443,28799,14.0
1685317296.0024815,29099,14.0
1685317313.2088819,29599,14.0
1685317373.4793415,29799,15.0
1685317378.5955372,29949,15.0
1685317394.4910986,30399,15.0
1685317399.715728,30549,15.0
1685317401.4375498,30599,15.0
1685317436.065201,31599,15.0
1685317536.3804386,32949,16.0
1685317546.7535074,33249,16.0
1685317551.934904,33399,16.0
1685317565.889271,33799,16.0
1685317577.8520823,34149,16.0
1685317662.0903735,34999,17.0
1685317663.8046374,35049,17.0
1685317681.0425274,35549,17.0
1685317686.715961,35699,17.0
1685317698.663512,36049,17.0
1685317819.8526573,37999,18.0
1685317828.4423935,38249,18.0
1685317916.8147988,39249,19.0
1685317925.9301538,39499,19.0
1685317929.380151,39599,19.0
1685318030.9433753,41049,20.0
1685318065.8592856,42049,20.0
1685318077.97672,42399,20.0
1685318081.392599,42499,20.0
1685318145.9160366,42949,21.0
1685318157.916106,43299,21.0
1685318185.9718595,44099,21.0
1685318191.1532423,44249,21.0
1685318272.5651565,44749,22.0
1685318276.0007253,44849,22.0
1685318302.3162763,45599,22.0
1685318310.9625928,45849,22.0
1685318321.385589,46149,22.0
1685318350.9412866,46999,22.0
1685318357.7632153,47199,22.0
1685318361.1972868,47299,22.0
1685318368.034637,47499,22.0
1685318462.7282205,48549,23.0
1685318494.2530737,49449,23.0
1685318499.4694948,49599,23.0
1685318554.3638213,49699,24.0
1685318587.6200712,50649,24.0
1685318599.8201067,50999,24.0
1685318605.0318737,51149,24.0
1685318608.4977536,51249,24.0
1685318613.6964018,51399,24.0
1685318615.4212432,51449,24.0
1685318692.901284,52149,25.0
1685318694.614617,52199,25.0
1685318741.8193648,53549,25.0
1685318743.5562906,53599,25.0
1685318808.124955,53799,26.0
1685318832.6321418,54499,26.0
1685318837.871718,54649,26.0
1685318839.632066,54699,26.0
1685318870.7296333,55599,26.0
1685318872.437303,55649,26.0
1685318931.6487281,55849,27.0
1685318964.6561651,56799,27.0
1685318969.8566961,56949,27.0
1685318976.7456374,57149,27.0
1685318988.7941988,57499,27.0
1685319067.2948682,58199,28.0
1685319077.666065,58499,28.0
1685319079.3911233,58549,28.0
1685319086.3152895,58749,28.0
1685319088.0528955,58799,28.0
1685319094.9756289,58999,28.0
1685319110.3945885,59449,28.0
1685319113.820581,59549,28.0
1685319172.6851468,59699,29.0
1685319183.453879,59999,29.0
1685319193.7401495,60299,29.0
1685319202.3864782,60549,29.0
1685319313.297759,62199,30.0
1685319320.2068527,62399,30.0
1685319335.8293111,62849,30.0
1685319337.5499148,62899,30.0
1685319349.501427,63249,30.0
1685319430.812633,64099,31.0
1685319437.631212,64299,31.0
1685319441.0853188,64399,31.0
1685319446.3026302,64549,31.0
1685319468.6970167,65199,31.0
1685319539.333395,65699,32.0
1685319555.1618998,66149,32.0
1685319565.4464772,66449,32.0
1685319575.8417935,66749,32.0
1685319701.6245425,68899,33.0
1685319776.283876,69449,34.0
1685319783.3016875,69649,34.0
1685319816.1035445,70599,34.0
1685319821.2670965,70749,34.0
1685319831.4782066,71049,34.0
1685319836.5881371,71199,34.0
1685319895.712869,71249,35.0
1685319946.0295625,72699,35.0
1685319963.70827,73199,35.0
1685320034.542241,73449,36.0
1685320046.4561155,73799,36.0
1685320084.8367925,74899,36.0
1685320095.1149821,75199,36.0
